PICO_LOGGER: Open space found at addr 5b200
time_us,state,temperature_chip_celsius,deployment_percent,pressure_mb,altitude_m,temperature_alt_celsius,mid_imu_ax,mid_imu_ay,mid_imu_az,mid_imu_gx,mid_imu_gy,mid_imu_gz,mag_x,mag_y,mag_z,high_g_x,high_g_y,high_g_z
419726681,PAD,19.18,0,983.47,250.90,24.16,-0.94,-0.03,0.35,0.24,-1.22,-0.37,-2.08e+09,-2.02e+09,-2.08e+09,-0.34,0.49,1.27
419746681,PAD,19.18,0,983.66,249.30,24.16,-0.89,-0.03,0.37,-0.12,-0.98,-0.49,-2.08e+09,-2.02e+09,-2.08e+09,-0.39,0.63,1.32
419766681,PAD,19.18,0,983.28,252.50,24.16,-0.92,-0.03,0.38,-1.10,-0.61,0.37,-2.08e+09,-2.02e+09,-2.08e+09,-0.39,0.63,1.22
419786681,PAD,19.18,0,983.09,254.20,24.16,-0.98,-0.02,0.35,-0.85,-0.37,0.61,-2.08e+09,-2.02e+09,-2.08e+09,-0.49,0.83,1.02
419806681,PAD,19.18,0,983.09,254.20,24.16,-0.97,-0.01,0.34,-0.98,-0.61,-0.49,-2.08e+09,-2.02e+09,-2.08e+09,-0.34,0.54,1.17
419826681,PAD,19.18,0,982.90,255.80,24.16,-0.91,-0.04,0.34,-1.46,-0.24,-0.85,-2.08e+09,-2.02e+09,-2.08e+09,-0.44,0.49,1.22
419846681,PAD,19.18,0,983.05,254.50,24.14,-0.95,-0.03,0.36,-0.98,-0.12,-0.61,-2.08e+09,-2.02e+09,-2.08e+09,-0.29,0.49,1.17
419866681,PAD,19.18,0,983.28,252.50,24.16,-0.95,-0.04,0.36,-0.98,0.85,-1.83,-2.08e+09,-2.02e+09,-2.08e+09,-0.39,0.78,1.32
419886681,PAD,19.18,0,983.09,254.20,24.16,-0.94,-0.04,0.33,-0.98,7.44,-4.27,-2.08e+09,-2.02e+09,-2.08e+09,-0.20,0.49,1.17
419906681,PAD,19.18,0,983.09,254.20,24.16,-0.90,-0.04,0.35,0.24,13.78,-4.39,-2.08e+09,-2.02e+09,-2.08e+09,-0.24,0.44,1.17
419926681,PAD,19.18,0,982.86,256.10,24.14,-0.90,-0.02,0.35,1.59,15.00,-1.59,-2.08e+09,-2.02e+09,-2.08e+09,-0.15,0.49,1.17
419946681,PAD,19.18,0,983.09,254.20,24.16,-0.94,-0.03,0.34,2.32,27.07,-0.61,-2.08e+09,-2.02e+09,-2.08e+09,-0.24,0.59,1.07
419966681,PAD,19.18,0,982.90,255.80,24.16,-0.95,-0.03,0.33,1.34,18.41,-1.10,-2.08e+09,-2.02e+09,-2.08e+09,-0.34,0.59,1.07
419986681,PAD,19.18,0,982.90,255.80,24.16,-0.98,-0.02,0.32,0.12,-0.73,0.24,-2.08e+09,-2.02e+09,-2.08e+09,-0.24,0.49,1.12
420006681,PAD,19.18,0,983.24,252.90,24.14,-0.95,-0.03,0.32,0.73,-1.46,0.00,-2.08e+09,-2.02e+09,-2.08e+09,-0.34,0.54,1.22
420026681,PAD,19.18,0,983.28,252.50,24.16,-0.89,-0.03,0.33,1.83,-0.61,2.56,-2.08e+09,-2.02e+09,-2.08e+09,-0.39,0.54,1.12
420046681,PAD,19.18,0,983.09,254.20,24.16,-0.92,-0.04,0.37,0.24,-0.73,2.07,-2.08e+09,-2.02e+09,-2.08e+09,-0.29,0.68,1.07
420066681,PAD,19.18,0,983.09,254.20,24.16,-0.97,-0.02,0.36,-0.98,-0.98,2.07,-2.08e+09,-2.02e+09,-2.08e+09,-0.24,0.54,1.02
420086681,PAD,19.18,0,983.09,254.20,24.16,-0.98,-0.03,0.33,-1.34,-0.61,1.10,-2.08e+09,-2.02e+09,-2.08e+09,-0.34,0.63,1.27
420106681,PAD,19.18,0,983.28,252.50,24.16,-0.96,-0.03,0.33,-1.71,-0.49,0.49,-2.08e+09,-2.02e+09,-2.08e+09,-0.29,0.49,1.07
420126681,PAD,19.18,0,983.09,254.20,24.16,-0.94,-0.03,0.33,-1.83,-0.37,-0.12,-2.08e+09,-2.02e+09,-2.08e+09,-0.29,0.59,1.12
420146681,PAD,19.18,0,983.28,252.50,24.16,-0.94,-0.03,0.32,-1.22,-0.73,0.12,-2.08e+09,-2.02e+09,-2.08e+09,-0.34,0.49,1.32
420166681,PAD,19.18,0,983.47,250.90,24.16,-0.91,-0.04,0.32,-0.98,-0.73,0.61,-2.08e+09,-2.02e+09,-2.08e+09,-0.39,0.59,1.07
